tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
cromwell	This study		0.4	170.4	29.8	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.497e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI10	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	10	pmagpy-4.2.17	NA02-11Fa	u	2019-01-06T11:49:00Z	0	0.0	0.0	0.0	10	673.0
cromwell	This study		0.4	167.7	21.7	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.394e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI11	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	11	pmagpy-4.2.17	NA02-11Fa	u	2019-01-06T14:00:00Z	0	3e-05	0.0	-90.0	11	573.0
cromwell	This study		0.5	169.3	16.5	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.3060000000000002e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI12	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	12	pmagpy-4.2.17	NA02-11Fa	u	2019-01-06T16:15:00Z	0	3e-05	0.0	-90.0	12	673.0
cromwell	This study		0.4	168.0	7.2	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.194e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI13	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	13	pmagpy-4.2.17	NA02-11Fa	u	2019-01-07T09:16:00Z	0	3e-05	0.0	-90.0	13	703.0
cromwell	This study		0.4	170.3	26.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.324e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI14	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	14	pmagpy-4.2.17	NA02-11Fa	u	2019-01-07T11:29:00Z	0	0.0	0.0	0.0	14	703.0
cromwell	This study		0.4	168.3	28.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.247e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI15	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	15	pmagpy-4.2.17	NA02-11Fa	u	2019-01-07T13:44:00Z	0	0.0	0.0	0.0	15	733.0
cromwell	This study		0.4	168.8	2.7	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.1289999999999999e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI16	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	16	pmagpy-4.2.17	NA02-11Fa	u	2019-01-07T16:11:00Z	0	3e-05	0.0	-90.0	16	673.0
cromwell	This study		0.4	167.8	-13.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.12e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI17	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	17	pmagpy-4.2.17	NA02-11Fa	u	2019-01-07T18:20:00Z	0	3e-05	0.0	-90.0	17	733.0
cromwell	This study		0.5	168.1	-40.3	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.1289999999999999e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI18	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	18	pmagpy-4.2.17	NA02-11Fa	u	2019-01-07T20:48:00Z	0	3e-05	0.0	-90.0	18	763.0
cromwell	This study		1.0	167.6	20.5	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		8.217e-08	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI19	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	19	pmagpy-4.2.17	NA02-11Fa	u	2019-01-08T07:43:00Z	0	0.0	0.0	0.0	19	763.0
cromwell	This study		0.4	171.2	24.6	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		6.994e-08	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI20	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	20	pmagpy-4.2.17	NA02-11Fa	u	2019-01-08T10:06:00Z	0	0.0	0.0	0.0	20	783.0
cromwell	This study		0.4	170.8	-52.9	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.047e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI21	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	21	pmagpy-4.2.17	NA02-11Fa	u	2019-01-08T12:12:00Z	0	3e-05	0.0	-90.0	21	733.0
cromwell	This study		0.3	168.4	-63.9	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.367e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI22	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	22	pmagpy-4.2.17	NA02-11Fa	u	2019-01-08T14:33:00Z	0	3e-05	0.0	-90.0	22	783.0
cromwell	This study		0.8	170.1	-73.5	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.512e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI23	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	23	pmagpy-4.2.17	NA02-11Fa	u	2019-01-08T17:01:00Z	0	3e-05	0.0	-90.0	23	803.0
cromwell	This study		0.7	172.2	12.5	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		4.2639999999999997e-08	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI24	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	24	pmagpy-4.2.17	NA02-11Fa	u	2019-01-09T09:57:00Z	0	0.0	0.0	0.0	24	803.0
cromwell	This study		0.5	170.4	9.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		3.682e-08	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI25	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	25	pmagpy-4.2.17	NA02-11Fa	u	2019-01-09T13:01:00Z	0	0.0	0.0	0.0	25	818.0
cromwell	This study		0.2	165.5	-74.5	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.362e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI26	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	26	pmagpy-4.2.17	NA02-11Fa	u	2019-01-09T15:07:00Z	0	3e-05	0.0	-90.0	26	783.0
cromwell	This study		0.2	165.5	-77.2	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.66e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI27	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	27	pmagpy-4.2.17	NA02-11Fa	u	2019-01-09T17:10:00Z	0	3e-05	0.0	-90.0	27	818.0
cromwell	This study		0.2	159.4	-82.1	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.9559999999999998e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI28	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	28	pmagpy-4.2.17	NA02-11Fa	u	2019-01-10T07:16:00Z	0	3e-05	0.0	-90.0	28	833.0
cromwell	This study		0.5	160.9	-15.2	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.852e-08	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI29	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	29	pmagpy-4.2.17	NA02-11Fa	u	2019-01-10T09:23:00Z	0	0.0	0.0	0.0	29	833.0
cromwell	This study		0.5	164.2	10.3	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.563e-08	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI30	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	30	pmagpy-4.2.17	NA02-11Fa	u	2019-01-10T12:06:00Z	0	0.0	0.0	0.0	30	843.0
cromwell	This study		0.2	153.3	-86.4	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.575e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI31	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	31	pmagpy-4.2.17	NA02-11Fa	u	2019-01-10T14:13:00Z	0	3e-05	0.0	-90.0	31	818.0
cromwell	This study		0.2	161.0	-86.1	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.214e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI32	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	32	pmagpy-4.2.17	NA02-11Fa	u	2019-01-10T16:34:00Z	0	3e-05	0.0	-90.0	32	843.0
cromwell	This study		0.2	122.1	-88.9	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.499e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI33	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	33	pmagpy-4.2.17	NA02-11Fa	u	2019-01-10T18:55:00Z	0	3e-05	0.0	-90.0	33	853.0
cromwell	This study		0.5	165.1	-32.7	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.023e-08	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI34	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	34	pmagpy-4.2.17	NA02-11Fa	u	2019-01-11T09:59:00Z	0	0.0	0.0	0.0	34	853.0
cromwell	This study		0.3	165.5	-56.8	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.21e-09	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI35	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	35	pmagpy-4.2.17	NA02-11Fa	u	2019-01-11T12:27:00Z	0	0.0	0.0	0.0	35	873.0
cromwell	This study		0.2	111.0	-87.6	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.057e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI36	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	36	pmagpy-4.2.17	NA02-11Fa	u	2019-01-11T14:28:00Z	0	3e-05	0.0	-90.0	36	843.0
cromwell	This study		0.2	85.3	-88.7	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		2.407e-07	3.0	273.0	NA02-11Fa_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI37	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	37	pmagpy-4.2.17	NA02-11Fa	u	2019-01-11T17:13:00Z	0	3e-05	0.0	-90.0	37	873.0
cromwell	This study		0.6	61.4	-32.1	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.913e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI0	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	38	pmagpy-4.2.17	NA02-11Fb	u	2019-01-04T09:11:00Z	0	0.0	0.0	0.0	0	273.0
cromwell	This study		0.6	65.8	-32.5	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.864e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI1	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	39	pmagpy-4.2.17	NA02-11Fb	u	2019-01-04T12:01:00Z	0	0.0	0.0	0.0	1	373.0
cromwell	This study		0.5	64.1	-33.2	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.8670000000000002e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI2	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	40	pmagpy-4.2.17	NA02-11Fb	u	2019-01-04T14:28:00Z	0	3e-05	0.0	-90.0	2	373.0
cromwell	This study		0.6	63.4	-35.9	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.7559999999999998e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI3	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	41	pmagpy-4.2.17	NA02-11Fb	u	2019-01-04T17:05:00Z	0	3e-05	0.0	-90.0	3	473.0
cromwell	This study		0.6	65.0	-33.8	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.685e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI4	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	42	pmagpy-4.2.17	NA02-11Fb	u	2019-01-05T09:56:00Z	0	0.0	0.0	0.0	4	473.0
cromwell	This study		0.7	64.7	-33.4	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.25e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI5	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	43	pmagpy-4.2.17	NA02-11Fb	u	2019-01-05T12:19:00Z	0	0.0	0.0	0.0	5	573.0
cromwell	This study		0.7	63.8	-35.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.278e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI6	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	44	pmagpy-4.2.17	NA02-11Fb	u	2019-01-05T14:32:00Z	0	3e-05	0.0	-90.0	6	373.0
cromwell	This study		0.6	64.5	-39.9	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.258e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI7	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	45	pmagpy-4.2.17	NA02-11Fb	u	2019-01-05T16:39:00Z	0	3e-05	0.0	-90.0	7	573.0
cromwell	This study		0.5	64.5	-43.1	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.159e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI8	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	46	pmagpy-4.2.17	NA02-11Fb	u	2019-01-05T19:06:00Z	0	3e-05	0.0	-90.0	8	623.0
cromwell	This study		0.5	64.0	-36.6	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.0289999999999999e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI9	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	47	pmagpy-4.2.17	NA02-11Fb	u	2019-01-06T09:43:00Z	0	0.0	0.0	0.0	9	623.0
cromwell	This study		0.6	63.7	-35.6	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		9.419e-08	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI10	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	48	pmagpy-4.2.17	NA02-11Fb	u	2019-01-06T11:50:00Z	0	0.0	0.0	0.0	10	673.0
cromwell	This study		0.5	63.9	-42.2	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.038e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI11	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	49	pmagpy-4.2.17	NA02-11Fb	u	2019-01-06T14:01:00Z	0	3e-05	0.0	-90.0	11	573.0
cromwell	This study		0.6	64.4	-46.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.064e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI12	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	50	pmagpy-4.2.17	NA02-11Fb	u	2019-01-06T16:15:00Z	0	3e-05	0.0	-90.0	12	673.0
cromwell	This study		0.5	65.4	-49.6	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		1.1189999999999999e-07	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI13	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	51	pmagpy-4.2.17	NA02-11Fb	u	2019-01-07T09:17:00Z	0	3e-05	0.0	-90.0	13	703.0
cromwell	This study		0.5	63.5	-39.1	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI		9.247999999999999e-08	3.0	273.0	NA02-11Fb_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI14	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	52	pmagpy-4.2.17	NA02-11Fb	u	2019-01-07T11:29:00Z	0	0.0	0.0	0.0	14	703.0
